GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Domain,io.oigres.ecomm.service.users.domain,CardImage_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,FavouriteBrand_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,Country_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,Profile,18,0,0,0,4,0,3,0,3,0
Domain,io.oigres.ecomm.service.users.domain,Card_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,TransactionalOutbox_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,Profile_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,ProfileType_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,Gender_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,ZipCode_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,FavouriteProduct_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,Config_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,ProfileImage_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,ProfileName,27,0,0,0,5,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,AbstractHistoryEntity_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,User_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,DomainEntity,0,3,0,0,0,1,0,1,0,1
Domain,io.oigres.ecomm.service.users.domain,ProfileImage,5,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,Aggregate,9,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain,Auditable,11,0,2,0,3,0,3,0,2,0
Domain,io.oigres.ecomm.service.users.domain,State_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception.profile,UserTypeNotFoundException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception.profile,ProfileUserException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception.profile,TypeNotFoundProfileException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception.profile,EnableStatusProfileException,5,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception.profile,NotFoundProfileException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception.profile,ExistingProfileException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception.profile,BadRequestProfileException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception.profile,DeletedProfileException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception,StateNotFoundException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception,DomainException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception,NotFoundException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception,ZipcodeNotFoundDomainException,8,0,0,0,4,0,2,0,2,0
Domain,io.oigres.ecomm.service.users.exception,InvalidException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception,GenderNotFoundException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception,PasswordInvalidException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.exception,UserNotFoundException,4,0,0,0,2,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain.profile,AdminProfile_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain.profile,DispensaryProfile,16,0,0,0,3,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain.profile,AdminProfile,0,25,0,0,0,6,0,1,0,1
Domain,io.oigres.ecomm.service.users.domain.profile,ConsumerProfile_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.domain.profile,ConsumerProfile,124,0,22,0,34,0,15,0,4,0
Domain,io.oigres.ecomm.service.users.domain.profile,DispensaryProfile_,3,0,0,0,1,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.enums,ConsumerTypeEnum,64,0,4,0,13,0,7,0,5,0
Domain,io.oigres.ecomm.service.users.enums,BlobType,28,0,0,0,7,0,3,0,3,0
Domain,io.oigres.ecomm.service.users.enums,ResourceStatusEnum,21,0,0,0,4,0,1,0,1,0
Domain,io.oigres.ecomm.service.users.enums,ProfileTypeEnum,56,0,0,0,11,0,4,0,4,0
